,Broad_Bean_Origin
1637,Mexico
1638,Brazil
1639,Venezuela
1640,Bolivia
1641,Brazil
1642,Peru
1643,Belize
1644,Madagascar
1645,Ecuador
1646,Domincan Republic
1647,Guatemala
1648,Ecuador
1649,Madagascar
1650,Uganda
1651,Peru
1652,Congo
1653,Madagascar
1654,Côte d'Ivoire
1655,Ghana
1656,Venezuela
1657,"Ghana, Panama, Ecuador"
1658,Peru
1659,Belize
1660,Ecuador
1661,Tobago
1662,Bolivia
1663,Venezuela
1664,Dominican Republic
1665,Dominican Republic
1666,Madagascar
1667,Domincan Republic
1668,Ecuador
1669,Madagascar
1670,Dominican Republic
1671,Bolivia
1672,Dominican Republic
1673,Peru
1674,Dominican Republic
1675,Nicaragua
1676,Dominican Republic
1677,Madagascar
1678,Tanzania
1679,Venezuela
1680,Peru
1681,unspecified
1682,Dominican Republic
1683,Venezuela
1684,unspecified
1685,Venezuela
1686,Dominican Republic
1687,Ecuador
1688,Ghana
1689,"Venezuela, Carribean"
1690,Venezuela
1691,Madagascar
1692,unspecified
1693,West Africa
1694,West Africa
1695,Venezuela
1696,Carribean
1697,South America
1698,Trinidad
1699,Venezuela
1700,Madagascar
1701,Ghana
1702,Ghana
1703,Madagascar
1704,Madagascar
1705,Madagascar
1706,Madagascar
1707,Madagascar
1708,Madagascar
1709,Bolivia
1710,Bolivia
1711,Dominican Republic
1712,Trinidad
1713,Ecuador
1714,Central and S. America
1715,Central and S. America
1716,Vietnam
1717,Peru
1718,Ecuador
1719,Ecuador
1720,Ecuador
1721,Ecuador
1722,Madagascar
1723,Belize
1724,Venezuela
1725,Peru
1726,Guatemala
1727,Peru
1728,Venezuela
1729,Domincan Republic
1730,Dominican Republic
1731,Peru
1732,Ghana
1733,Peru
1734,Peru
1735,Peru
1736,Peru
1737,Colombia
1738,Colombia
1739,Indonesia
1740,Madagascar
1741,Venezuela
1742,Indonesia
1743,Peru
1744,Venezuela
1745,Venezuela
1746,Bolivia
1747,Ghana
1748,Peru
1749,Ecuador
1750,Trinidad
1751,Ecuador
1752,Costa Rica
1753,Madagascar
1754,Venezuela
1755,Dominican Republic
1756,Dominican Republic
1757,Madagascar
1758,Dominican Republic
1759,Papua New Guinea
1760,Domincan Republic
1761,Madagascar
1762,Peru
1763,Belize
1764,unspecified
1765,Madagascar
1766,Ecuador
1767,Trinidad
1768,Tanzania
1769,Tanzania
1770,Trinidad
1771,Solomon Islands
1772,unspecified
1773,Bolivia
1774,Papua New Guinea
1775,Bolivia
1776,unspecified
1777,Panama
1778,unspecified
1779,Peru
1780,Peru
1781,Dominican Republic
1782,Ecuador
1783,Papua New Guinea
1784,Bolivia
1785,Dominican Republic
1786,Congo
1787,unspecified
1788,Peru
1789,Congo
1790,India
1791,India
1792,Brazil
